pfam_accession	pfam_version	pfam_name	pfam_short_name	pfam_description	theme_id	theme	subcategory_id	subcategory	hmm_name	hmm_file	hmm_length	n_seed_sequences	effn	source
PF13965	PF13965.13	SID-1_RNA_chan	dsRNA-gated channel SID-1		01_sensory	Sensory perception	01.5_thermoreception	Thermoreception	SID-1_RNA_chan_REV	hmm/per_domain/SID-1_RNA_chan_REVISION.hmm	622	528	5.410034	TIAMMAt mollusc-revised
PF03741	PF03741.23	TerC	Integral membrane protein TerC family		01_sensory	Sensory perception	01.5_thermoreception	Thermoreception	TerC_REV	hmm/per_domain/TerC_REVISION.hmm	186	144	4.346191	TIAMMAt mollusc-revised
PF12052	PF12052.14	VGCC_beta4Aa_N	Voltage gated calcium channel subunit beta domain 4Aa N terminal		01_sensory	Sensory perception	01.5_thermoreception	Thermoreception	VGCC_beta4Aa_N_REV	hmm/per_domain/VGCC_beta4Aa_N_REVISION.hmm	41	338	3.478714	TIAMMAt mollusc-revised
PF00858	PF00858.30	ASC	Amiloride-sensitive sodium channel		01_sensory	Sensory perception	01.6_nociception	Nociception	ASC_REV	hmm/per_domain/ASC_REVISION.hmm	438	4606	14.271635	TIAMMAt mollusc-revised
PF21875	PF21875.3	CAPN13-like_C_EFh	Calpain-13-like, C-terminal EF-hand		01_sensory	Sensory perception	01.6_nociception	Nociception	CAPN13-like_C_EFh_REV	hmm/per_domain/CAPN13-like_C_EFh_REVISION.hmm	63	36	1.876465	TIAMMAt mollusc-revised
PF00864	PF00864.25	P2X_receptor	ATP P2X receptor		01_sensory	Sensory perception	01.6_nociception	Nociception	P2X_receptor_REV	hmm/per_domain/P2X_receptor_REVISION.hmm	360	739	3.904400	TIAMMAt mollusc-revised
PF00519	PF00519.24	PPV_E1_C	Papillomavirus helicase		01_sensory	Sensory perception	01.6_nociception	Nociception	PPV_E1_C_REV	hmm/per_domain/PPV_E1_C_REVISION.hmm	287	39	3.613403	TIAMMAt mollusc-revised
PF18109	PF18109.7	Fer4_24	Ferredoxin I 4Fe-4S cluster domain		01_sensory	Sensory perception	01.7_proprioception	Proprioception	Fer4_24_REV	hmm/per_domain/Fer4_24_REVISION.hmm	35	227	3.370224	TIAMMAt mollusc-revised
PF00045	PF00045.25	Hemopexin	Hemopexin		01_sensory	Sensory perception	01.7_proprioception	Proprioception	Hemopexin_REV	hmm/per_domain/Hemopexin_REVISION.hmm	45	3511	29.234447	TIAMMAt mollusc-revised
PF22214	PF22214.2	Mec-4_10_cyt	Mechanosensory ion channel subunit mec-4/10 cytosolic domain		01_sensory	Sensory perception	01.7_proprioception	Proprioception	Mec-4_10_cyt_REV	hmm/per_domain/Mec-4_10_cyt_REVISION.hmm	61	4	0.699219	TIAMMAt mollusc-revised
PF00924	PF00924.25	MS_channel_2nd	Mechanosensitive ion channel, beta-domain		01_sensory	Sensory perception	01.7_proprioception	Proprioception	MS_channel_2nd_REV	hmm/per_domain/MS_channel_2nd_REVISION.hmm	66	160	9.692383	TIAMMAt mollusc-revised
PF12794	PF12794.13	MscS_TM	Mechanosensitive ion channel inner membrane domain 1		01_sensory	Sensory perception	01.7_proprioception	Proprioception	MscS_TM_REV	hmm/per_domain/MscS_TM_REVISION.hmm	338	76	5.552490	TIAMMAt mollusc-revised
PF08016	PF08016.19	PKD_channel	Polycystin cation channel		01_sensory	Sensory perception	01.7_proprioception	Proprioception	PKD_channel_REV	hmm/per_domain/PKD_channel_REVISION.hmm	225	2324	9.091423	TIAMMAt mollusc-revised
PF20519	PF20519.5	Polycystin_dom	Polycystin domain		01_sensory	Sensory perception	01.7_proprioception	Proprioception	Polycystin_dom_REV	hmm/per_domain/Polycystin_dom_REVISION.hmm	203	1817	7.849703	TIAMMAt mollusc-revised
PF16981	PF16981.11	Chi-conotoxin	chi-Conotoxin or t superfamily		02_neural	Neural and synaptic biology	02.1_lgic	Ligand-gated ion channels	Chi-conotoxin_REV	hmm/per_domain/Chi-conotoxin_REVISION.hmm	60	144	4.486816	TIAMMAt mollusc-revised
PF14575	PF14575.12	EphA2_TM	Ephrin type-A receptor 2 transmembrane domain		02_neural	Neural and synaptic biology	02.1_lgic	Ligand-gated ion channels	EphA2_TM_REV	hmm/per_domain/EphA2_TM_REVISION.hmm	76	590	5.658188	TIAMMAt mollusc-revised
PF15854	PF15854.11	GPR15L	G-protein coupled receptor ligand 15		02_neural	Neural and synaptic biology	02.1_lgic	Ligand-gated ion channels	GPR15L_REV	hmm/per_domain/GPR15L_REVISION.hmm	77	9	1.560059	TIAMMAt mollusc-revised
PF13385	PF13385.14	Laminin_G_3	Concanavalin A-like lectin/glucanases superfamily		02_neural	Neural and synaptic biology	02.1_lgic	Ligand-gated ion channels	Laminin_G_3_REV	hmm/per_domain/Laminin_G_3_REVISION.hmm	151	5075	24.359203	TIAMMAt mollusc-revised
PF15332	PF15332.12	LIME1	Lck-interacting transmembrane adapter 1		02_neural	Neural and synaptic biology	02.1_lgic	Ligand-gated ion channels	LIME1_REV	hmm/per_domain/LIME1_REVISION.hmm	249	14	1.110840	TIAMMAt mollusc-revised
PF15741	PF15741.11	LRIF1	Ligand-dependent nuclear receptor-interacting factor 1		02_neural	Neural and synaptic biology	02.1_lgic	Ligand-gated ion channels	LRIF1_REV	hmm/per_domain/LRIF1_REVISION.hmm	742	23	2.591431	TIAMMAt mollusc-revised
PF14586	PF14586.12	MHC_I_2	Class I Histocompatibility antigen, NKG2D ligand, domains 1 and 2		02_neural	Neural and synaptic biology	02.1_lgic	Ligand-gated ion channels	MHC_I_2_REV	hmm/per_domain/MHC_I_2_REVISION.hmm	174	1	0.378906	TIAMMAt mollusc-revised
PF02931	PF02931.29	Neur_chan_LBD	Neurotransmitter-gated ion-channel ligand binding domain		02_neural	Neural and synaptic biology	02.1_lgic	Ligand-gated ion channels	Neur_chan_LBD_REV	hmm/per_domain/Neur_chan_LBD_REVISION.hmm	209	11569	8.939535	TIAMMAt mollusc-revised
PF02932	PF02932.22	Neur_chan_memb	Neurotransmitter-gated ion-channel transmembrane region		02_neural	Neural and synaptic biology	02.1_lgic	Ligand-gated ion channels	Neur_chan_memb_REV	hmm/per_domain/Neur_chan_memb_REVISION.hmm	233	10197	16.702030	TIAMMAt mollusc-revised
PF15330	PF15330.12	SIT	SHP2-interacting transmembrane adaptor protein, SIT		02_neural	Neural and synaptic biology	02.1_lgic	Ligand-gated ion channels	SIT_REV	hmm/per_domain/SIT_REVISION.hmm	108	82	8.025330	TIAMMAt mollusc-revised
PF08087	PF08087.17	Toxin_18	Conotoxin O-superfamily		02_neural	Neural and synaptic biology	02.1_lgic	Ligand-gated ion channels	Toxin_18_REV	hmm/per_domain/Toxin_18_REVISION.hmm	31	8	2.191406	TIAMMAt mollusc-revised
PF08088	PF08088.18	Toxin_19	Conotoxin I-superfamily		02_neural	Neural and synaptic biology	02.1_lgic	Ligand-gated ion channels	Toxin_19_REV	hmm/per_domain/Toxin_19_REVISION.hmm	40	8	1.589844	TIAMMAt mollusc-revised
PF08097	PF08097.16	Toxin_26	Conotoxin T-superfamily		02_neural	Neural and synaptic biology	02.1_lgic	Ligand-gated ion channels	Toxin_26_REV	hmm/per_domain/Toxin_26_REVISION.hmm	11	2	2.000000	TIAMMAt mollusc-revised
PF03493	PF03493.24	BK_channel_a	Calcium-activated BK potassium channel alpha subunit		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	BK_channel_a_REV	hmm/per_domain/BK_channel_a_REVISION.hmm	90	1020	3.443527	TIAMMAt mollusc-revised
PF08763	PF08763.18	Ca_chan_IQ	Voltage gated calcium channel IQ domain		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	Ca_chan_IQ_REV	hmm/per_domain/Ca_chan_IQ_REVISION.hmm	80	496	1.812622	TIAMMAt mollusc-revised
PF16885	PF16885.12	CAC1F_C	Voltage-gated calcium channel subunit alpha, C-term		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	CAC1F_C_REV	hmm/per_domain/CAC1F_C_REVISION.hmm	236	164	4.191589	TIAMMAt mollusc-revised
PF03185	PF03185.21	CaKB	Calcium-activated potassium channel, beta subunit		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	CaKB_REV	hmm/per_domain/CaKB_REVISION.hmm	193	228	6.383972	TIAMMAt mollusc-revised
PF15170	PF15170.12	CaM-KIIN	Calcium/calmodulin-dependent protein kinase II inhibitor		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	CaM-KIIN_REV	hmm/per_domain/CaM-KIIN_REVISION.hmm	79	12	0.911133	TIAMMAt mollusc-revised
PF16025	PF16025.11	CaM_bind	Calcium-dependent calmodulin binding		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	CaM_bind_REV	hmm/per_domain/CaM_bind_REVISION.hmm	75	205	7.404099	TIAMMAt mollusc-revised
PF27937	PF27937.1	CBARP	Voltage-dependent calcium channel beta subunit-associated regulator		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	CBARP_REV	hmm/per_domain/CBARP_REVISION.hmm	745	136	6.080322	TIAMMAt mollusc-revised
PF08434	PF08434.17	CLCA	Calcium-activated chloride channel N terminal		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	CLCA_REV	hmm/per_domain/CLCA_REVISION.hmm	265	728	3.396393	TIAMMAt mollusc-revised
PF15729	PF15729.12	CTSRT	Cation channel sperm-associated targeting subunit tau		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	CTSRT_REV	hmm/per_domain/CTSRT_REVISION.hmm	143	7	0.632324	TIAMMAt mollusc-revised
PF07936	PF07936.18	Defensin_4	Potassium-channel blocking toxin		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	Defensin_4_REV	hmm/per_domain/Defensin_4_REVISION.hmm	34	11	3.450928	TIAMMAt mollusc-revised
PF16905	PF16905.11	GPHH	Voltage-dependent L-type calcium channel, IQ-associated		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	GPHH_REV	hmm/per_domain/GPHH_REVISION.hmm	54	687	5.679050	TIAMMAt mollusc-revised
PF01007	PF01007.27	IRK	Inward rectifier potassium channel transmembrane domain		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	IRK_REV	hmm/per_domain/IRK_REVISION.hmm	141	711	2.069447	TIAMMAt mollusc-revised
PF17655	PF17655.8	IRK_C	Inward rectifier potassium channel C-terminal domain		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	IRK_C_REV	hmm/per_domain/IRK_C_REVISION.hmm	174	813	3.333950	TIAMMAt mollusc-revised
PF08466	PF08466.16	IRK_N	Inward rectifier potassium channel N-terminal		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	IRK_N_REV	hmm/per_domain/IRK_N_REVISION.hmm	45	18	2.922363	TIAMMAt mollusc-revised
PF07941	PF07941.17	K_channel_TID	Potassium channel Kv1.4 tandem inactivation domain		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	K_channel_TID_REV	hmm/per_domain/K_channel_TID_REVISION.hmm	69	12	3.073242	TIAMMAt mollusc-revised
PF16642	PF16642.11	KCNQ2_u3	Unstructured region on Potassium channel subunit alpha KvLQT2		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	KCNQ2_u3_REV	hmm/per_domain/KCNQ2_u3_REVISION.hmm	98	8	0.792969	TIAMMAt mollusc-revised
PF02702	PF02702.24	KdpD	Osmosensitive K+ channel His kinase sensor domain		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	KdpD_REV	hmm/per_domain/KdpD_REVISION.hmm	209	176	1.340088	TIAMMAt mollusc-revised
PF11834	PF11834.14	KHA	KHA, dimerisation domain of potassium ion channel		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	KHA_REV	hmm/per_domain/KHA_REVISION.hmm	63	251	5.580246	TIAMMAt mollusc-revised
PF05934	PF05934.16	MCLC	Mid-1-related chloride channel (MCLC)		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	MCLC_REV	hmm/per_domain/MCLC_REVISION.hmm	549	454	17.848679	TIAMMAt mollusc-revised
PF01618	PF01618.22	MotA_ExbB	MotA/TolQ/ExbB proton channel family		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	MotA_ExbB_REV	hmm/per_domain/MotA_ExbB_REVISION.hmm	121	446	5.073441	TIAMMAt mollusc-revised
PF13677	PF13677.12	MotB_plug	Membrane MotB of proton-channel complex MotA/MotB		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	MotB_plug_REV	hmm/per_domain/MotB_plug_REVISION.hmm	54	229	6.495834	TIAMMAt mollusc-revised
PF17523	PF17523.8	MPS-4	MinK-related peptide, potassium channel accessory sub-unit protein 4		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	MPS-4_REV	hmm/per_domain/MPS-4_REVISION.hmm	64	6	2.176758	TIAMMAt mollusc-revised
PF21088	PF21088.3	MS_channel_1st	Mechanosensitive ion channel, transmembrane helices 2/3		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	MS_channel_1st_REV	hmm/per_domain/MS_channel_1st_REVISION.hmm	42	76	40.370361	TIAMMAt mollusc-revised
PF05552	PF05552.18	MS_channel_1st_1	Mechanosensitive ion channel, conserved TM helix		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	MS_channel_1st_1_REV	hmm/per_domain/MS_channel_1st_1_REVISION.hmm	48	227	28.170639	TIAMMAt mollusc-revised
PF21082	PF21082.3	MS_channel_3rd	Mechanosensitive ion channel MscS, C-terminal		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	MS_channel_3rd_REV	hmm/per_domain/MS_channel_3rd_REVISION.hmm	86	67	12.836487	TIAMMAt mollusc-revised
PF25392	PF25392.2	MS_channel_TM1	Mechanosensitive ion channel, transmembrane helix 1		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	MS_channel_TM1_REV	hmm/per_domain/MS_channel_TM1_REVISION.hmm	79	375	5.032539	TIAMMAt mollusc-revised
PF01741	PF01741.24	MscL	Large-conductance mechanosensitive channel, MscL		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	MscL_REV	hmm/per_domain/MscL_REVISION.hmm	127	381	1.706291	TIAMMAt mollusc-revised
PF12795	PF12795.13	MscS_porin	Mechanosensitive ion channel porin domain		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	MscS_porin_REV	hmm/per_domain/MscS_porin_REVISION.hmm	236	208	24.987549	TIAMMAt mollusc-revised
PF24956	PF24956.1	Msl2-3_C	Mechanosensitive ion channel protein 2/3 C-terminal		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	Msl2-3_C_REV	hmm/per_domain/Msl2-3_C_REVISION.hmm	87	10	0.932617	TIAMMAt mollusc-revised
PF25237	PF25237.1	MSL2_3	Mechanosensitive channel protein 2/3 domain		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	MSL2_3_REV	hmm/per_domain/MSL2_3_REVISION.hmm	130	48	0.893555	TIAMMAt mollusc-revised
PF25886	PF25886.1	Msy1	Mechanosensitive ion channel protein Msy1-like, transmembrane domain		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	Msy1_REV	hmm/per_domain/Msy1_REVISION.hmm	164	285	4.918442	TIAMMAt mollusc-revised
PF11933	PF11933.14	Na_trans_cytopl	Cytoplasmic domain of voltage-gated Na+ ion channel		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	Na_trans_cytopl_REV	hmm/per_domain/Na_trans_cytopl_REVISION.hmm	175	106	3.568054	TIAMMAt mollusc-revised
PF01389	PF01389.24	OmpA_membrane	OmpA-like transmembrane domain		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	OmpA_membrane_REV	hmm/per_domain/OmpA_membrane_REVISION.hmm	176	22	1.576416	TIAMMAt mollusc-revised
PF07856	PF07856.18	Orai-1	Mediator of CRAC channel activity		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	Orai-1_REV	hmm/per_domain/Orai-1_REVISION.hmm	166	313	2.746201	TIAMMAt mollusc-revised
PF02195	PF02195.27	ParB_N	ParB N-terminal domain		02_neural	Neural and synaptic biology	02.2_vgic	Voltage-gated ion channels	ParB_N_REV	hmm/per_domain/ParB_N_REVISION.hmm	100	242	4.988739	TIAMMAt mollusc-revised
